Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
313,SR6UKB,439.262500,-,7.600000,Tone,94.8,94.8,FM,12.5,Kopa Biskupia
315,SR6UPK,438.537500,-,7.600000,Tone,67.0,88.5,FM,12.5,50.763453, 15.639642
316,SR6UVO,439.387500,-,7.600000,Tone,94.8,94.8,FM,12.5,Elektrownia Opole, Brzezie k/Opola
317,SR6UVW,439.012500,-,7.600000,,88.5,88.5,DV,12.5,Wrocław - Dom Akademicki
318,SR6UVX,439.412500,-,7.600000,Tone,103.5,88.5,FM,12.5,Żmigród
319,SR6UVY,439.212500,-,7.600000,,88.5,88.5,FM,12.5,Oława
320,SR6W,145.662500,-,0.600000,Tone,94.8,94.8,FM,12.5,Wałbrzych
321,SR6WB,439.362500,-,7.600000,Tone,94.8,88.5,FM,12.5,Wałbrzych
323,SR6WR,438.850000,-,7.600000,Tone,103.5,103.5,FM,12.5,Wrocław
324,SR6WRC,430.175000,split,70.260000,Tone,103.5,88.5,FM,12.5,Mokronos Gorny
325,SR6WS,438.925000,-,7.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
326,SR6WY,439.075000,-,7.600000,Tone,71.9,71.9,FM,12.5,Wysoka k. Góry Św Anny
328,SR6Z,145.637500,-,0.600000,Tone,67.0,67.0,FM,12.5,Góra Świeradowiec
329,SR7ABZ,145.275000,-,0.600000,Tone,88.5,88.5,FM,12.5,Busko-Zdrój
330,SR7BU,145.237500,split,145.237500,Tone,77.0,77.0,FM,12.5,Burzenin
332,SR7DBZ,438.562500,-,7.600000,,88.5,88.5,FM,12.5,Busko-Zdroj
337,SR7E,145.762500,-,0.600000,Tone,77.0,77.0,FM,12.5,Bełchatów
341,SR7KGO,145.275000,split,433.250000,Tone,88.5,88.5,FM,12.5,Busko-Zdrój
342,SR7KI,438.725000,-,7.600000,Tone,88.5,88.5,FM,12.5,RTCN Święty Krzyż EmiTel - Łysa Góra/Nowa Słupia
343,SR7KP,439.425000,-,7.600000,Tone,88.5,88.5,FM,12.5,Kielce
344,SR7KU,438.925000,-,7.600000,Tone,82.5,88.5,FM,12.5,Kutno
345,SR7L,145.675000,-,0.600000,Tone,77.0,88.5,FM,12.5,Łódź
346,SR7LA,439.375000,-,7.600000,Tone,77.0,88.5,FM,12.5,Łódź
347,SR7LD,439.075000,-,7.600000,Tone,77.0,77.0,FM,12.5,Łódź
352,SR7LDZ,438.350000,-,7.600000,Tone,77.0,77.0,FM,12.5,Łódź
354,SR7LLX,438.875000,split,431.275000,,88.5,88.5,FM,12.5,
355,SR7LM,439.200000,-,7.600000,,88.5,88.5,FM,12.5,Łódź
356,SR7LO,1298.700000,-,28.000000,,88.5,88.5,FM,12.5,Łódź
358,SR7O,145.662500,-,0.600000,,88.5,88.5,FM,12.5,Śnieżkowice POLKOMTEL
359,SR7OS,439.475000,-,7.600000,Tone,71.9,71.9,FM,12.5,Ostrowiec Świętokrzyski
360,SR7PA,439.400000,-,7.600000,Tone,77.0,88.5,FM,12.5,Pabianice
361,SR7PB,438.650000,-,7.600000,,88.5,118.8,FM,12.5,Bałtów
363,SR7SC,439.325000,-,7.600000,Tone,118.8,118.8,FM,12.5,Skierniewice
364,SR7SI,438.825000,-,7.600000,Tone,77.0,77.0,FM,12.5,Sieradz
365,SR7ST,439.150000,-,7.600000,Tone,110.9,110.9,FM,12.5,Staszów - wieża   Polkomtel Sp. z o.o. - Plus
367,SR7TCW,438.125000,split,145.300000,,88.5,88.5,FM,12.5,Złota
368,SR7TM,438.675000,-,7.600000,Tone,118.8,118.8,FM,12.5,Tomaszów Mazowiecki
369,SR7UAL,438.650000,-,7.600000,,88.5,88.5,DV,12.5,Łódź
370,SR7ULD,439.550000,-,7.600000,,88.5,88.5,DV,12.5,Łódź
372,SR7UTM,439.100000,-,7.600000,,88.5,88.5,DV,12.5,Tomaszów Mazowiecki
373,SR7UVK-B,439.125000,-,7.600000,,88.5,88.5,DV,12.5,Łysa Góra/Nowa Słupia - RTCN Święty Krzyż EmiTel
374,SR7UVL-B,439.450000,-,7.600000,,88.5,88.5,DV,12.5,Łódź
