Callsign,Modes,TX Frequency,TX CTCSS,RX Frequency,RX CTCSS,RX 1750,Duplex,Offset,Status,Latitude,Longitude,QTH,Locator
SR2CDE,dstar,439.1875,false,431.5875,false,false,-,7.6,working,54.34082,18.555667,Gdansk,JO94GI
SR1ZS,"fm, dmr, c4fm",439,82.5,431.4,82.5,false,-,7.6,testing,53.40396,14.52215,Szczecin,JO73GJ
SR9RU,"fm, dmr",439.35,107.2,431.75,107.2,false,-,7.6,inprogress,49.467286,20.554214,,
SR9RS,"fm, dmr",439.325,107.2,431.725,107.2,false,-,7.6,inprogress,49.527601,20.821271,,
SR9RP,"fm, dmr",439.25,107.2,431.65,107.2,false,-,7.6,inprogress,49.652776,20.547884,Wysokie,KN09GP
SR2DV,dstar,439.1875,false,431.5875,false,false,-,7.6,testing,54.340465,18.555603,GDANSK,JO94GI
SR0GOL,fm,439.1375,false,431.5375,false,false,-,7.6,working,50.177279,20.570335,,KO00GE81
SR1BAR,fm,439.55,false,431.95,82.5,false,-,7.6,working,52.973367,15.230974,Barlinek,JO72OX73
SR2KW,"fm, echolink, fmpoland",145.3375,100,431.025,100,false,+,285.6875,working,52.672693,19.032652,Wloclawek,JO92MQ
SR9GOL,fm,145.65,114.8,434.75,114.8,false,+,289.1,inprogress,50.177226,20.569857,,KO00GE82JN
SR6T,"dmr, c4fm",438.55,false,430.95,false,false,-,7.6,working,50.914357,16.014392,Bolkow,JO80AV
SR6SO,dstar,439.4125,false,431.8125,false,false,-,7.6,working,50.502906,18.292613,Strzelce Opolskie,JO90dm50
SR8ALA,dmr,439.475,false,431.875,false,false,-,7.6,testing,49.814923,21.99281,Domaradz,KN09XT
SR9BB,"fm, fmlink",438.5375,67,430.9375,67,false,-,7.6,planned,49.685562,19.031298,Platforma widokowa na Skrzycznem,JN99MQ
SR8GA,fm,145.725,77,145.125,77,false,-,0.6,off,51.370764,22.322395,Garbow,KO11DI
SR9NKU,"fm, echolink, fmpoland",438.3625,71.9,430.7625,71.9,false,-,7.6,inprogress,50.341733,19.210983,Dabrowa Gornicza,JO90IO
SR8RZE,"fm, fmpoland",439.2875,71.9,431.6875,71.9,false,-,7.6,working,50.062275,21.954842,Rzeszow,KO00XB
SR2GRU,fm,145.6875,false,145.0875,94.8,false,-,0.6,working,53.45833,18.75,Grudziadz,JO93JL
SR9OKO,dmr,438.8,false,431.2,false,false,-,7.6,working,50.1348061,18.1668112,Strzybnik,JO90BD
SR9SR,dmr,438.4875,false,430.8875,false,false,-,7.6,working,50.086379,18.554571,Rybnik,JO90GC
SR9BB,"fm, fmlink",438.5375,67,430.9375,67,false,-,7.6,unverified,49.755244,19.002927,Schroniska PTTK Szyndzielnia,JN99MS
SR4T,"fm, echolink, extremelink",145.7625,94.8,145.1625,94.8,false,-,0.6,working,54.2789608,20.9415585,Turcz,KO04LG
SR3DKA,"dmr, c4fm, dstar",438.4,false,430.8,false,false,-,7.6,working,51.7423,18.0959,Kalisz,JO91BR
SR8L6M,fm,51.81,67,51.21,67,false,-,0.6,working,51.225671,22.623193,Lublin,KO11hf
SR8FM,"fm, fmpoland",434.4,false,434.4,77,false,false,0,working,50.0582753,21.3722899,Zawierzbie,KO00QB
SR1WR,dmr,439.05,false,431.45,false,false,-,7.6,working,53.947183,15.53354,Ryman,JO73SW
SR3A,fm,145.6625,79.7,145.0625,79.7,true,-,0.6,planned,52.346795,15.276266,RTCN Jemiolow/Lagow maszt EmiTel,JO72PI
SR3JX,c4fm,439.25,false,431.65,false,false,-,7.6,planned,52.346795,15.276266,RTCN Jemiolow/Lagow maszt EmiTel,JO72PI
SR5ZOC,"fm, fmpoland",145.587,127.3,145.587,127.3,false,false,0,working,52.2552778,22.7458333,Nowosielce,KO12IF
SR9OMP,"fm, dmr",431.3375,77,438.9375,77,false,+,7.6,working,49.736501,18.634977,Cieszyn,JN99HR
SR1TET,tetra,431.625,false,430.025,false,false,-,1.6,working,53.3425,15.0252,Stargard,JO73mi
SR9W,fm,145.6,103.5,145,103.5,false,-,0.6,inprogress,49.7786954,20.39628056,Makowica - Kamionna,KN09es
SR9RT,"fm, fmpoland",29.66,103.5,29.56,103.5,false,-,0.1,working,49.719344,20.454852,Mordarka - Lysa Gora 781 m n.p.m. k. Limanowej,KN09FR
SR9RT,"fm, fmpoland",51.99,103.5,51.39,103.5,false,-,0.6,working,49.719344,20.454852,Mordarka - Lysa Gora 781 m n.p.m. k. Limanowej,KN09FR
SR9RT,"fm, fmpoland",438.6375,103.5,431.0375,103.5,false,-,7.6,working,49.719344,20.454852,Mordarka - Lysa Gora 781 m n.p.m. k. Limanowej,KN09FR
SR7KFX,"fm, fmpoland",438.2625,88.5,430.6625,88.5,false,-,7.6,working,52.00964,18.81998,Wielenin,JO92JA
SR3DAB,c4fm,439.05,false,431.45,false,false,-,7.6,working,52.1261,18.8562,Zalesie,JO92KD
SR4LIN,c4fm,438.65,false,431.05,false,false,-,7.6,working,53.7906638,19.5364853,Jerzwald,JO93ss
SR6LDV,"dmr, c4fm",438.25,false,430.65,false,false,-,7.6,working,51.21246,16.163592,Legnica,JO81BF
SR7SZ,fm,439.1875,110.9,431.5875,110.9,false,-,7.6,working,50.55339,21.07638,Staszow - wieza Polkomtel Sp. z o.o.,KO00MN
SR5ECHO,fm,145.7,false,145.7,false,false,false,0,testing,52.188,20.875,WARSZAWA,KO02KE
SR1WR,c4fm,438.6875,false,431.0875,false,false,-,7.6,working,53.947183,15.53354,Ryman,JO73SW
SR8Y,fm,145.65,123,145.05,123,false,-,0.6,working,49.96557,21.99461,Rzeszow,KN09XX
SR5ECHO,fm,439.15,false,439.15,false,false,false,0,testing,52.188,20.875,Warszawa,KO02ke
SR8LN,fm,438.675,67,431.075,67,false,-,7.6,working,51.2413465,22.50971378,Lublin,KO11gf
SR8LUB,fm,439.4,77,431.8,77,false,-,7.6,testing,51.235083,22.522944,Lublin,KO11gf
SR3DAB,dstar,438.575,false,430.975,false,false,-,7.6,working,52.136228,18.860674,Zalesie,JO92KD
SR3DAB,dmr,439.575,false,431.975,false,false,-,7.6,working,52.1264,18.8562,Zalesie,JO92KD
SR6DJG,dmr,439.1625,false,431.5625,false,false,-,7.6,off,50.944061,15.762719,Jezow Sudecki,JO70VW
SR4PL,"fm, echolink, extremelink",439.575,67,430.175,67,false,-,9.4,working,53.938,20.458,Podlesna 66,KO03FW
SR7USI,dstar,439.525,false,431.925,false,false,-,7.6,working,51.5988891,18.6972428,Sieradz,JO91IO
SR4SUW,"fm, fmpoland",434.7,false,434.7,67,false,false,0,working,54.1213,22.947,Suwalki,KO14LC
SR4WA,"fm, echolink, minilink",438.125,67,430.525,67,false,-,7.6,testing,53.438,19.458,Wawrowice,JO93RK
SR4ST,"fm, echolink, minilink",439.2,67,431.6,67,false,-,7.6,inprogress,53.813,19.625,Skitlawki,JO93TT
SR9LC,"fm, c4fm",145,71.9,145,71.9,false,false,0,working,50.698776,18.642656,Lubecko,JO90HQ
SR6RC,"fm, fmpoland",438.1,false,430.5,103.5,false,-,7.6,working,51.11472,16.95503,Wroclaw,JO81lc
SR6L,"fm, fmpoland",439.125,67,431.525,67,false,-,7.6,working,51.21246,16.163592,Legnica,JO81BF
SR8LBT,tetra,430.1,false,431.7,false,false,+,1.6,working,51.241034,22.55055,Lublin,KO11GF
SR9ZAR,fm,439.5375,67,431.9375,67,false,-,7.6,working,49.787232,19.22477,Gora Zar,JN99OS
SR9ZAC,echolink,145.2875,107.2,145.2875,false,false,false,0,working,49.277298,19.877682,Koscielisko (Podhale),JN99WG
SR9Z,fm,145.7375,107.2,145.1375,107.2,false,-,0.6,working,49.467256,20.553933,Przehyba EMITEL,KN09GL
SR9X,fm,145.7,94.8,145.1,94.8,false,-,0.6,working,49.307959,19.936232,Obiekt Emitel RTON Gubalowka,JN99XH
SR9VVO,dstar,439.4375,false,431.8375,false,false,-,7.6,working,49.891714,20.928624,Lichwin,KN09LV
SR9VRJ,dmr,438.7125,false,431.1125,false,false,-,7.6,working,49.307959,19.936232,Obiekt Emitel RTON Gubalowka,JN99XH
