Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
176,SR4MI,438.750000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
177,SR4MID,438.225000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
178,SR4MIT,438.525000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
179,SR4MO,438.450000,-,7.600000,,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Morag,,,,
180,SR4MR,439.150000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"Mragowo - wieza cisnien wodociagow",,,,
181,SR4MWO,438.150000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Mragowo,,,,
182,SR4O,145.725000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Olsztyn,,,,
183,SR4OE,439.400000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Olecko,,,,
184,SR4OEX,145.687500,-,0.600000,,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Olecko,,,,
185,SR4ON,438.675000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Olsztyn,,,,
186,SR4OND,438.500000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Olsztyn,,,,
187,SR4ONT,438.275000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Olsztyn,,,,
188,SR4ONX,438.950000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Olsztyn,,,,
189,SR4OS,438.400000,-,7.600000,,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Ostroda,,,,
190,SR4PA,439.000000,-,7.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
191,SR4PA,145.775000,-,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
192,SR4PL,439.575000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Podlesna,,,,
193,SR4RS,145.700000,-,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
194,SR4S,145.575000,-,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
195,SR4SA,439.375000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
196,SR4SN,438.875000,-,7.600000,,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Szczytno,,,,
197,SR4ST,439.200000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
198,SR4SU,438.800000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Jeleniewo,,,,
199,SR4SUU,438.900000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
200,SR4SUW,434.700000,,0.000000,,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
201,SR4SW,439.325000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Swietajno,,,,
202,SR4SWE,439.450000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Swietajno,,,,
203,SR4U,145.725000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
204,SR4UBI,439.425000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
205,SR4UG,438.775000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Giby,,,,
206,SR4UVD,439.512500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"Gora Dylewska EMITEL",,,,
207,SR4UVE,438.600000,-,7.600000,,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
208,SR4UVM,439.487500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
209,SR4UVN,439.462500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Olsztyn,,,,
210,SR4WA,438.125000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Wawrowice,,,,
211,SR4X,145.600000,-,0.600000,,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Juchnowiec,,,,
212,SR5AWK,431.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Warszawa,,,,
213,SR5CI,438.437500,-,7.600000,,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Ciechanow,,,,
214,SR5DMR,438.212500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"06-461 Koziczyn 46",,,,
215,SR5DMRC,145.637500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"06-461 Koziczyn 46",,,,
216,SR5DV,145.587500,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
217,SR5DVR,439.362500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"RADOM - maszt Emitel",,,,
218,SR5E,439.375000,-,7.600000,,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"Warszawa-Ochota ul. Czestochowska",,,,
219,SR5ECHO,439.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Warszawa,,,,
220,SR5ECHO,145.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,WARSZAWA,,,,
221,SR5FUS,438.150000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Radom,,,,
222,SR5FWG,438.250000,-,7.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Garwolin,,,,
223,SR5GM,439.225000,-,7.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"Grodzisk Mazowiecki",,,,
224,SR5GR,438.800000,-,7.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
225,SR5ID,439.037500,-,7.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Kuflew,,,,
226,SR5KAB,439.400000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Warszawa,,,,
227,SR5KO,439.200000,-,7.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Kozienice,,,,
228,SR5KP,29.680000,-,0.100000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
229,SR5KPN,438.200000,-,7.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Zamczysko,,,,
230,SR5LOM,1298.400000,-,28.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
