Callsign,Modes,"TX Frequency","TX CTCSS","RX Frequency","RX CTCSS","RX 1750",Duplex,Offset,Status,Latitude,Longitude,QTH,Locator
SR4OND,dmr,438.5,,430.9,,,-,7.6,working,53.770592,20.490134,Olsztyn,KO03FS
SR4ONT,dmr,438.275,,430.675,,,-,7.6,inprogress,53.773118,20.51332,Olsztyn,KO03GS
SR4ONX,"fm, dstar, c4fm",438.95,,431.35,,,-,7.6,inprogress,53.773118,20.51332,Olsztyn,KO03GS
SR4OS,"fm, echolink, minilink",438.4,,430.8,67,,-,7.6,working,53.691595,19.96897,Ostroda,JO93XQ
SR4PA,fm,439,94.8,431.4,94.8,,-,7.6,working,54.056859,19.65798,"Pasek, pow. elblaski",JO94TB
SR4PA,"fm, extremelink",145.775,94.8,145.175,94.8,,-,0.6,working,54.025593386753,19.694711469198,Pasek,JO94UA
SR4PL,"fm, echolink, extremelink",439.575,67,431.975,67,,-,7.6,working,53.938,20.458,Podlesna,KO03FW
SR4RS,fm,145.7,67,145.1,67,,-,0.6,working,53.134117,23.172523,Biaystok,KO13OD
SR4S,fm,145.575,67,144.975,67,,-,0.6,working,53.409137,23.484552,Sokoka,KO13RJ
SR4SA,fm,439.375,67,431.775,67,,-,7.6,working,53.409137,23.484552,Sokoka,KO13RJ
SR4SN,"fm, dstar, dmr, c4fm",438.875,,431.275,67,,-,7.6,working,53.564684,21.00016,Szczytno,KO03MN
SR4ST,"fm, echolink, minilink",439.2,67,431.6,67,,-,7.6,inprogress,53.813,19.625,Skitawki,JO93TT
SR4SU,"fm, fmlink",438.8,67,431.2,67,,-,7.6,working,54.196059,22.872801,Jeleniewo,KO14KE
SR4SUU,fm,438.9,,431.3,,,-,7.6,working,54.098344,22.924715,"Suwaki, ul. Mickiewicza 15",KO14LC
SR4SUW,"fm, fmpoland",434.7,,434.7,67,,,0,working,54.1213,22.947,Suwaki,KO14LC
SR4SW,"fm, atv",439.325,,431.725,,,-,7.6,off,53.563494,21.219062,Swietajno,KO03ON
SR4SWE,dstar,439.45,,431.85,,,-,7.6,off,53.563494,21.219062,Swietajno,KO03ON
SR4U,fm,145.725,,145.125,,,-,0.6,working,53.108847,23.121939,Biaystok,KO13NC
SR4UBI,"dstar, dmr",439.425,,431.825,,,-,7.6,working,53.132887,23.138298,Biaystok,KO13ND
SR4UG,"dstar, dmr, c4fm",438.775,,431.175,,,-,7.6,working,0,0,Giby,KO14QA
SR4UVD,dstar,439.5125,,431.9125,,,-,7.6,working,53.549375,19.940454,"Gora Dylewska EMITEL",JO93XN
SR4UVE,"fm, c4fm",438.6,,431,94.8,,-,7.6,working,54.047551,19.62193,Pasek,JO94TB
SR4UVM,dstar,439.4875,,431.8875,,,-,7.6,working,53.937727,21.844764,"Miki k/Gizycka  EMITEL",KO03WW
